#{"t_start": 1703935751.442305, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
390.0,2893,1319.557626
260.0,2413,1323.784356
560.0,3177,1329.37083
175.0,1511,1331.984036
500.0,3495,1338.062839
550.0,2623,1342.606888
260.0,2031,1346.098482
290.0,2145,1349.848293
220.0,1825,1353.005217
530.0,2817,1357.868969
665.0,5011,1366.49171
255.0,1937,1369.789706
395.0,3005,1375.135904
250.0,2947,1380.153694
540.0,2810,1384.976498
375.0,2751,1389.616705
340.0,2385,1393.698028
445.0,3135,1399.065446
360.0,2608,1403.545746
185.0,2073,1407.10226
670.0,3133,1412.502057
245.0,2577,1416.923841
260.0,2223,1420.741414
455.0,2841,1425.602069
390.0,2786,1430.422683
380.0,2419,1434.750503
255.0,2081,1438.30048
525.0,3427,1444.175276
375.0,2655,1455.468442
305.0,2475,1459.798652
360.0,2711,1464.515442
290.0,2836,1469.473189
770.0,4395,1477.080902
255.0,3199,1482.688659
280.0,3191,1488.193017
545.0,4089,1495.329693
320.0,2317,1499.301893
225.0,1879,1502.483432
340.0,3412,1508.342237
335.0,2457,1512.528527
450.0,2851,1517.363321
230.0,2711,1521.998471
410.0,2969,1526.994548
305.0,2513,1531.263067
650.0,3825,1537.809881
350.0,3087,1543.076511
300.0,2577,1547.475843
220.0,1987,1550.926449
345.0,2953,1556.105377
295.0,2761,1560.86992
595.0,3593,1567.086525
470.0,2861,1571.955933
245.0,2373,1576.010919
310.0,2905,1581.021135
420.0,2691,1585.608219
500.0,3041,1590.790368
105.0,1771,1593.813122
430.0,3513,1599.802697
260.0,2693,1604.431358
215.0,2441,1608.61028
325.0,2969,1613.89874
345.0,3035,1619.111849
420.0,2681,1623.707702
715.0,3725,1638.903784
560.0,2912,1644.069744
335.0,2573,1648.587181
365.0,2587,1653.1324
330.0,2307,1657.213298
575.0,4079,1664.358507
210.0,1787,1667.409362
210.0,1551,1670.051511
290.0,2583,1674.680242
245.0,2145,1678.370294
380.0,2527,1682.768141
285.0,2299,1686.711492
330.0,2397,1690.834616
340.0,3347,1696.66758
455.0,3035,1701.884308
335.0,2289,1705.824148
470.0,3513,1711.833726
560.0,2933,1716.896541
345.0,2873,1721.871001
465.0,2727,1726.547985
330.0,2965,1731.807307
840.0,4047,1738.834651
145.0,1607,1741.545603
545.0,3657,1747.806417
800.0,3171,1753.228735
330.0,2583,1757.671593
260.0,2255,1761.564826
600.0,2951,1766.637444
370.0,2811,1771.435147
235.0,2439,1775.568732
455.0,3913,1782.238135
245.0,2315,1786.143989
310.0,2419,1790.302828
365.0,2815,1795.292229
495.0,3419,1801.128309
665.0,3185,1806.53879
595.0,3169,1811.908387
350.0,2401,1822.839198
425.0,2449,1827.132121
425.0,3037,1832.445957
335.0,2213,1836.267918
185.0,2129,1839.940996
490.0,3989,1846.816779
490.0,2761,1851.674424
425.0,2995,1856.860433
525.0,2897,1861.860356
260.0,3195,1867.345332
330.0,3285,1872.940232
380.0,2985,1878.02603
225.0,2945,1882.999438
755.0,3823,1889.479396
340.0,2687,1894.065972
520.0,3737,1900.496629
420.0,2205,1904.367516
470.0,2981,1909.501448
280.0,2415,1913.826908
215.0,2645,1918.326596
240.0,2197,1922.072551
605.0,3513,1928.006156
605.0,4443,1935.557798
345.0,2635,1940.053005
190.0,2077,1943.583222
445.0,2616,1947.991066
465.0,3509,1953.960825
775.0,3663,1960.169719
170.0,2027,1963.62082
615.0,3775,1970.033617
470.0,4095,1977.142966
420.0,3013,1982.270217
520.0,2871,1987.166966
315.0,2607,1991.628002
270.0,2267,2001.563637
225.0,2307,2005.582851
685.0,3327,2011.401725
150.0,2165,2015.202013
480.0,4127,2022.402445
245.0,2225,2026.27404
660.0,4043,2033.494993
390.0,2459,2037.777072
625.0,3015,2043.02828
350.0,2851,2048.021791
910.0,5007,2056.721041
290.0,2075,2060.250315
605.0,3155,2065.67412
305.0,2821,2070.576974
435.0,2979,2075.693116
325.0,2589,2080.158207
585.0,2699,2084.791425
600.0,3563,2090.872177
310.0,2547,2095.328762
395.0,2983,2100.538319
315.0,2623,2105.032325
340.0,2273,2108.879348
395.0,3135,2114.219149
445.0,3881,2120.779099
280.0,2503,2125.040546
585.0,3027,2130.193215
745.0,3277,2135.724774
325.0,2533,2139.989683
465.0,2389,2144.062431
445.0,3169,2149.453883
595.0,2973,2154.689622
160.0,1803,2157.738236
540.0,4129,2164.719273
290.0,2243,2168.543996
140.0,1601,2171.259281
405.0,2855,2176.106339
490.0,3287,2189.484265
545.0,3499,2195.44439
475.0,3139,2200.859596
555.0,4145,2207.944951
410.0,3241,2213.715007
385.0,2791,2218.488393
340.0,2313,2222.455819
280.0,2469,2226.676973
550.0,3379,2232.411344
555.0,4361,2239.808465
105.0,2359,2243.838506
700.0,4593,2251.71449
385.0,2471,2255.95434
300.0,2761,2260.659036
145.0,1615,2263.397935
390.0,2637,2267.88769
330.0,2439,2272.244247
330.0,2899,2277.206368
215.0,2023,2280.661129
460.0,3715,2287.006587
190.0,2249,2290.834912
235.0,2289,2294.719537
340.0,2789,2299.463011
405.0,3129,2304.772521
860.0,5425,2313.995622
545.0,3815,2320.478176
320.0,2405,2324.552657
405.0,3013,2329.661754
400.0,2554,2334.24437
200.0,2021,2337.698404
460.0,2751,2342.414609
335.0,2395,2346.493884
380.0,3079,2351.766986
445.0,2681,2356.297916
480.0,3675,2369.276962
370.0,2747,2374.11929
465.0,2819,2379.098103
285.0,2211,2382.936483
325.0,2473,2387.29586
280.0,2497,2391.78119
380.0,2963,2397.029266
470.0,3123,2402.470648
600.0,2591,2406.920689
430.0,3375,2412.745201
490.0,2975,2417.865707
545.0,4889,2426.221133
395.0,2780,2430.951347
350.0,2809,2435.76953
435.0,2467,2439.92399
495.0,2935,2444.899185
575.0,2471,2449.122383
455.0,2633,2453.801666
305.0,2729,2458.411801
355.0,2546,2462.803322
290.0,2355,2466.808641
480.0,2845,2471.616096
300.0,2063,2475.139224
460.0,3271,2480.718428
460.0,2993,2485.79112
230.0,1999,2489.234359
245.0,2225,2493.059341
585.0,2999,2498.166939
485.0,2801,2502.956653
585.0,3255,2508.466761
255.0,2219,2512.410993
405.0,3163,2517.822015
390.0,2949,2522.878241
215.0,2263,2526.720598
110.0,1353,2529.010953
225.0,2717,2533.682942
710.0,4003,2547.096401
460.0,3527,2553.21045
370.0,2867,2558.153069
185.0,2129,2561.81219
245.0,2549,2566.176242
350.0,3147,2571.744359
310.0,2712,2576.500841
445.0,3047,2581.76015
285.0,2083,2585.368894
385.0,2583,2589.796256
230.0,2083,2593.36628
260.0,2051,2596.899283
570.0,3953,2603.618653
190.0,1803,2606.806336
345.0,3469,2612.885345
320.0,1997,2616.357724
205.0,2723,2621.055317
360.0,2981,2626.157274
685.0,3521,2632.358286
315.0,2363,2636.370387
445.0,3655,2642.692879
380.0,2765,2647.47882
435.0,3109,2652.796898
430.0,3303,2658.45169
670.0,3103,2663.75163
460.0,3233,2669.253594
410.0,2661,2673.779999
425.0,2537,2678.115644
430.0,2885,2683.037487
430.0,3123,2688.359447
495.0,4057,2695.551565
500.0,4127,2702.595522
370.0,2671,2707.158522
290.0,2855,2712.031415
315.0,2919,2716.986717
360.0,3071,2728.666059
500.0,4011,2735.696573
340.0,3584,2742.009794
240.0,2369,2746.153116
495.0,3541,2752.529202
370.0,2845,2757.541782
175.0,2201,2761.418374
470.0,3733,2768.036081
470.0,4575,2776.111269
415.0,3167,2781.557409
355.0,3073,2786.856679
570.0,2571,2791.27367
295.0,2451,2795.515825
545.0,4461,2803.115987
340.0,2523,2807.389807
590.0,3741,2813.928381
545.0,3769,2820.34553
335.0,2769,2825.066615
740.0,3991,2831.844818
405.0,3109,2837.13489
545.0,3169,2842.557204
395.0,3059,2847.755242
440.0,3597,2853.903622
665.0,3617,2860.079447
400.0,3091,2865.432032
525.0,3547,2871.669864
695.0,4033,2878.606506
315.0,2911,2883.630453
540.0,3937,2890.315308
285.0,2705,2894.866386
315.0,2731,2899.507938
255.0,2613,2910.839958
85.0,1599,2913.653646
380.0,2426,2917.908097
405.0,3321,2923.702956
515.0,4549,2931.725223
425.0,2685,2936.427369
445.0,2973,2941.543488
340.0,2883,2946.618147
510.0,3571,2952.788242
345.0,2567,2957.241951
650.0,2975,2962.402447
375.0,3259,2968.061652
480.0,4163,2975.285407
405.0,3277,2981.022624
745.0,3249,2986.632231
290.0,2885,2991.781796
345.0,3275,2997.534398
530.0,3365,3003.395308
365.0,2849,3008.366476
435.0,2739,3013.152823
515.0,3381,3019.051224
255.0,2603,3023.55356
485.0,3215,3029.155245
570.0,3470,3035.205202
345.0,3211,3040.858609
205.0,2055,3044.393784
495.0,2743,3049.084529
595.0,2911,3054.282975
220.0,2453,3058.502471
295.0,2049,3062.007955
290.0,1911,3065.284477
235.0,2989,3070.450325
600.0,3505,3076.66513
440.0,2717,3081.319267
570.0,2753,3086.002327
525.0,3619,3098.824964
325.0,2125,3102.454541
490.0,3473,3108.424703
400.0,2479,3112.852301
485.0,4417,3120.405371
490.0,3757,3126.851809
640.0,3603,3133.041726
655.0,3260,3138.624229
350.0,2547,3143.007343
670.0,2340,3147.00086
320.0,2469,3151.258678
375.0,2335,3155.216256
445.0,3951,3161.959056
480.0,2631,3166.474183
550.0,2953,3171.646751
580.0,3493,3177.615569
350.0,2466,3181.870059
360.0,2521,3186.258991
215.0,1831,3189.428826
390.0,2803,3194.315206
775.0,3993,3201.14135
280.0,2395,3205.245706
325.0,2451,3209.446262
435.0,3009,3214.636819
375.0,2993,3219.737908
545.0,3981,3226.593701
65.0,1469,3229.072795
175.0,2297,3233.220003
310.0,2613,3237.755875
560.0,3247,3243.323152
445.0,3101,3248.663767
160.0,1897,3251.913697
610.0,2609,3256.364674
300.0,2779,3261.095685
305.0,2015,3264.524148
175.0,2085,3275.38357
550.0,3408,3281.44028
415.0,3589,3287.769775
310.0,2473,3292.324913
655.0,3455,3298.385637
140.0,1733,3301.437809
305.0,2471,3305.818725
225.0,1943,3309.221053
285.0,2221,3313.171681
455.0,3591,3319.4632
515.0,3868,3326.20047
455.0,3717,3332.649423
265.0,2307,3336.665052
